action_norm_q_dual_temperature,action_norm_q_kl_q_rel,action_norm_q_loss_temperature,action_norm_q_q_max,action_norm_q_q_mean,action_norm_q_q_min,critic_loss,dual_alpha_mean,dual_alpha_stddev,kl_mean_rel,kl_stddev_rel,loss_alpha,loss_policy,pi_stddev_cond,pi_stddev_max,pi_stddev_min,policy_loss,steps,task_dual_temperature,task_kl_q_rel,task_loss_temperature,task_q_max,task_q_mean,task_q_min,task_reward,walltime
1.3132616,0.63717556,-5.5883436,-4.911372,-5.8044996,-6.726993,3.998468,1.3132616,10.000046,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.09395158,289.2895,1.0117314,0.6936565,0.6856308,289.2895,1,1.3132616,4.7722316,-3.5531304,-2.871235,-5.020822,-7.178497,1.4921875,0
1.2770092,0.66572076,-5.569672,-4.8933463,-5.783535,-6.6893144,2.9786139,1.2769871,10.018254,"[0.01960922 0.01082608 0.02624706 0.03474346 0.00530318 0.00062756
 0.03702085 0.01025321 0.00066816 0.02097021 0.03114759 0.01750005
 0.0392031  0.00492081 0.00543516 0.03390057 0.04468628 0.03327509
 0.03806403 0.00209518 0.01509214 0.03956703 0.01348982 0.01991643
 0.04738843 0.04113365 0.04165701 0.00127474 0.02281453 0.010557
 0.00958714 0.01896011 0.00602679 0.03125021 0.09402863 0.01302214
 0.00217871 0.00986675 0.00615117 0.00348014 0.02517555 0.01563768
 0.01246419 0.02035286 0.02539369 0.01294413 0.04263568 0.01029305
 0.03403549 0.00569782 0.01434193 0.01670202 0.01949028 0.03010177
 0.01541281 0.00862541 0.00670134 0.00326247 0.01101453 0.00773258
 0.01188506 0.01088496 0.01296461 0.02148095 0.00214057 0.0435607
 0.00633587 0.03122932 0.00319354 0.00970861 0.01754541]","[4.79162514e-01 1.59497380e+00 8.12139452e-01 3.96480374e-02
 4.17408419e+00 3.54591638e-01 3.88790250e+00 4.47465003e-01
 2.30170417e+00 1.22996373e-02 4.00212593e+01 1.77694273e+00
 7.19264174e+00 1.06763065e+00 9.51300487e-02 1.13326795e-01
 3.87778854e+00 9.93887857e-02 1.60756004e+00 4.14092255e+00
 1.54697680e+00 5.42868280e+00 1.56317472e+01 2.56904831e+01
 4.01864201e-01 2.27203548e-01 2.86052818e+01 9.38644886e+00
 6.54552221e+00 8.30136585e+00 2.15734765e-01 1.31090701e+00
 1.68038578e+01 1.71587539e+00 3.72792864e+00 9.05486345e-01
 6.62845433e-01 3.14046919e-01 2.07896256e+00 2.18844771e-01
 7.52074957e+00 1.62402105e+00 3.71562552e+00 9.94632602e-01
 1.69640493e+00 8.25515389e-01 2.33744955e+00 3.33948555e+01
 8.00370216e-01 1.98382050e-01 3.34553680e+01 1.44386423e+00
 1.42923050e+01 1.49713192e+01 6.26523614e-01 6.56995118e-01
 7.33669341e-01 2.07797122e+00 4.59254837e+00 2.32329369e+00
 5.29639125e-02 6.50539279e-01 1.19373548e+00 1.23509479e+00
 8.98501205e+00 2.76346773e-01 3.00193578e-01 6.47074217e-03
 4.25053072e+00 1.87229288e+00 3.79593074e-01]",0.086105324,288.02972,1.0146972,0.6934104,0.68337417,288.02972,6,1.3501121,2.9053724,-4.6543875,-4.27822,-5.599512,-6.936431,1.6953125,2.2024219036102295
